interaction_id,customer_id,date,channel,query,sentiment,tone,intent
1,1,2025-01-10,Call,Need pricing details,Neutral,Informative,Inquiry
2,2,2025-01-09,Email,Feedback on product,Positive,Friendly,Feedback
3,3,2025-01-08,Meeting,Customization options,Neutral,Professional,Inquiry
4,4,2025-01-07,Call,Demo scheduling,Neutral,Professional,Request
5,5,2025-01-06,Email,Premium package interest,Positive,Excited,Purchase
6,6,2025-01-05,Call,Follow-up request,Negative,Frustrated,Follow-up
7,7,2025-01-04,Meeting,Billing concern,Negative,Concerned,Complaint
8,8,2025-01-03,Email,New feature inquiry,Neutral,Inquisitive,Inquiry
9,9,2025-01-02,Call,Switching competitor,Negative,Disappointed,Switching
10,10,2025-01-01,Email,Loyalty rewards,Positive,Friendly,Upgrade
"11","1","2025-01-21 19:58:48.714686","call"," Hello, hello, hello, my testing one to team.  This is a big video.  If you have not taken any video, you will not see another one, so take two.","Neutral","['Informative']","Providing information"
"12","1","2025-01-21 21:06:54.074809","call"," Hello, hello, hello, my testing on to team.  Thank you very much for your time.","Neutral","['Informative', 'Neutral']","Providing information"
"13","1","2025-01-21 21:59:01.306226","call"," Hello, hello, my testing one, two, three.","Neutral","['Testing']","Testing audio"
"13","1","2025-01-21 21:59:22.669833","call"," You","Neutral","['Calm']","Undefined"
"13","1","2025-01-21 21:59:45.436812","call"," Thanks it, thanks it.","Neutral","['Flat']","Giving a command"
"14","1","2025-01-21 22:00:52.857712","call"," Hello, hello, I'm testing one, do you?","Neutral","['Testing']","Testing audio"
"15","1","2025-01-21 22:05:12.862135","call","Hello, hello, hello.","Neutral","['Testing', 'Calm']","Testing equipment"
"16","1","2025-01-21 22:09:24.555906","call","Hello, hello, hello, hello, my testing window too.","Neutral","['Calm', 'Testing']","Testing audio equipment"
"17","1","2025-01-21 22:09:45.371808","call","I don't need your product. Bye.","Negative","['Dismissive', 'Annoyed']","Expressing rejection"
"18","1","2025-01-23 16:02:30.693927","call","You","Neutral","['Calm']","No specific intent detected"
"19","1","2025-01-23 16:02:51.587516","call","You","Neutral","['Calm']","Undetermined"
"20","1","2025-01-23 16:03:11.963234","call","You","Neutral","['Inaudible']","Not applicable"
"21","1","2025-01-23 16:03:37.787343","call","I am not satisfied with your product.","Negative","['Dissatisfied', 'Frustrated']","Expressing dissatisfaction"
"22","1","2025-01-23 16:44:32.421649","call"," I would I'm not satisfied with the product","Neutral","Calm","General Inquiry"
"23","1","2025-01-23 16:54:36.646121","call"," not satisfied with the product.","Neutral","Calm","General Inquiry"
"24","1","2025-01-29 19:12:44.680254","call"," Hello, hello my testing monitor 3","Neutral","['Calm', 'Informative']","Testing a system"
"25","1","2025-01-29 19:15:41.697925","call"," Can I know more about the prices of the product?","Neutral","['Inquisitive']","Seeking information"
"26","1","2025-01-29 19:24:47.390109","call"," Hello, I am quite disappointed in your product.","Negative","['Disappointed']","Expressing dissatisfaction"
